Requester,Event,Date of Event,No. Tickets,Distributed To,Notes
Ticket Distribution List,,,,,
Requester,Event,,,Distributed To,Notes
Fred Blackwell,A's v. Texas,2014-06-22T00:00:00.000,4,OPW,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-06-21T00:00:00.000,5,OPR,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-06-20T00:00:00.000,4,OPD,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-06-18T00:00:00.000,4,N/A,Not Provided Yet
Fred Blackwell,A's v. Texas,2014-06-15T00:00:00.000,4,OPW,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-06-13T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,Sesame Street Live,2014-05-30T00:00:00.000,4,Mayor's Office,Staff for Employee Recognition
Fred Blackwell,Bruno Mars,2014-05-28T00:00:00.000,2,CAO,Kept for Fred and Family
Fred Blackwell,A's v. Detroit,2014-05-28T00:00:00.000,4,OFD,Staff for Employee Recognition
Fred Blackwell,A's v. Detroit,2014-05-27T00:00:00.000,4,OFD,Staff for Employee Recognition
Fred Blackwell,A's v. Detroit,2014-05-26T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,Romeo Santos,2014-05-23T00:00:00.000,2,Mayor's Office,Staff for Employee Recognition
Fred Blackwell,A's v. Sox,2014-05-14T00:00:00.000,4,OPD,Staff for Employee Recognition
Fred Blackwell,A's v. Chicago,2014-05-13T00:00:00.000,10,OPR,Staff for Employee Recognition
Fred Blackwell,A's v. Washington,2014-05-11T00:00:00.000,4,OPD,Staff for Employee Recognition
Fred Blackwell,A's v. Seattle,2014-05-07T00:00:00.000,4,OPL,Staff for Employee Recognition
Fred Blackwell,A's v. Seattle,2014-05-06T00:00:00.000,4,OPL,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-04-23T00:00:00.000,4,OFD,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-04-22T00:00:00.000,4,2 Planning/2,Staff for Employee Recognition
Fred Blackwell,A's v. Texas,2014-04-21T00:00:00.000,4,OFD,Staff for Employee Recognition
Fred Blackwell,A's v. Houston,2014-04-20T00:00:00.000,4,OPW,Staff for Employee Recognition
Fred Blackwell,A's v. Houston,2014-04-18T00:00:00.000,4,OPD,Staff for Employee Recognition
Fred Blackwell,Warriors v. Minnesota,,2,CAO,Kept for Fred and Family
Fred Blackwell,Warriors v. Nuggets,,2,CAO,Kept for Fred and Family
Fred Blackwell,A's v. Seattle,2014-04-06T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,Warriors v. Jazz,,2,CAO,Kept for Fred and Family
Fred Blackwell,POP the Dream 2014,,2,ED,Staff for Employee Recognition
Fred Blackwell,A's v. Seattle,2014-04-04T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,Warriors v. Kings,,2,CAO,Kept for Fred and Family
Fred Blackwell,A's v. Seattle,2014-04-03T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,A's v. Cleveland,2014-04-01T00:00:00.000,4,CAO,Staff for Employee Recognition
Fred Blackwell,A's v. Cleveland,2014-03-31T00:00:00.000,4,CAO,Kept for Fred and Family
Fred Blackwell,A's v. Cleveland,2014-03-29T00:00:00.000,4,CAO,Kept for Fred and Family
Deanna Santana,DOI,,4,CAO,Staff for Employee Recognition
Deanna Santana,DOI,2014-02-28T00:00:00.000,6,Mayor,Staff for Employee Recognition
Deanna Santana,DOI,2014-02-27T00:00:00.000,4,N/A,Unable to Give
Deanna Santana,DOI,2014-02-26T00:00:00.000,6,Payroll,Staff for Employee Recognition
Deanna Santana,Miley Cyrus,2014-02-24T00:00:00.000,2,CAO,Staff for Employee Recognition
Deanna Santana,Monster Jam,2014-02-22T00:00:00.000,2,Mayor,Staff for Employee Recognition
Fred Blackwell,Monster Jam,2014-02-22T00:00:00.000,2,N/A,Unable to Give
Deanna Santana,Warriors v. Rockets,2014-02-20T00:00:00.000,2,DHRM,Staff for Employee Recognition
Fred Blackwell,Warriors v. Rockets,2014-02-20T00:00:00.000,2,Mayor,Staff for Employee Recognition
Deanna Santana,Warriors v. Heat,2014-02-12T00:00:00.000,2,CAO,Kept for Deanna and Family
Fred Blackwell,Warriors v. Heat,2014-02-12T00:00:00.000,2,CAO,Kept for Fred and Family
Deanna Santana,WWE Live,2014-02-07T00:00:00.000,2,PWA,Staff for Employee Recognition
Fred Blackwell,WWE Live,2014-02-07T00:00:00.000,2,N/A,Unable to Give
Deanna Santana,Warriors v. Bulls,2014-02-06T00:00:00.000,2,DIT,Staff for Employee Recognition
Fred Blackwell,Warriors v. Bulls,2014-02-06T00:00:00.000,2,N/A,Unable to Give
Deanna Santana,Warriors v. Bobcats,2014-02-04T00:00:00.000,2,OPD,Staff for Employee Recognition
Fred Blackwell,Warriors v. Bobcats,2014-02-04T00:00:00.000,2,N/A,Unable to Give
Deanna Santana,Warriors v. Clippers,2014-01-30T00:00:00.000,2,CAO,Staff for Employee Recognition
Deanna Santana,Warriors v. Blazers,2014-01-26T00:00:00.000,2,OPD,Staff for Employee Recognition
Deanna Santana,AMA Supercross,2014-01-25T00:00:00.000,4,Mayor,Staff for Employee Recognition
Deanna Santana,Warriors v. Pacers,2014-01-20T00:00:00.000,2,OPD,Staff for Employee Recognition
Deanna Santana,Globetrotters,2014-01-19T00:00:00.000,2,Mayor,Staff for Employee Recognition
Deanna Santana,Globetrotters,2014-01-17T00:00:00.000,4,CAO,Staff for Employee Recognition
Deanna Santana,Warriors v. Nugget,2014-01-15T00:00:00.000,2,ER,Staff for Employee Recognition
